Transcriptions,Signature,Burial place,Mother,Instruments,Battles/wars,Parent(s),Rank,Spouse(s),Honours,Branch,2002–2007,Known for,"Service/, branch",Resting place,Place of Birth,Board member of,Partner(s),Relative(s),Genres,Website,Years of service,Burial,Issue,Other names,Name,Commands held,Spouses,Born,Family,Jyutping,Occupation,Succeeded by,Citizenship,Employer(s),Origin,Religion,Relatives,Education,Death Place,Works,Father,Awards,Birth Date,Organizations,President,Medium,Died,Allegiance,Hanyu Pinyin,Simplified Chinese,Height,Labels,Years active,Partner,1997–2007,Cause of death,Occupations,Traditional Chinese,Monuments,Service number,Losses,Partners,Instrument(s),Parent,Children,Full Birth Name,Organization,Reach,Spouse,Alma mater,Title,Occupation(s),Unit,Wins,Formerly of,Parents,House,Weight(s),Preceded by,Notable work,Political party,Nationality,Wade–Giles
,,,,,,,,,,,,,,,"Tokyo, Japan",,,,,,,,,"Joan Burfield, Joan St. Joh",Joan Fontaine,,"Brian Aherne,  ,  , (, m., 1939;, div., 1945),  , William Dozier,  ,  , (, m., 1946;, div., 1951),  , Collier Young,  ,  , (, m., 1952;, div., 1961),  , Alfred Wright Jr.,  ,  , (, m., 1964;, div., 1969),  ",,,,Actress,,"United Kingdom, United States (from 1943)",,,,"Dame Olivia de Havilland, (sister), Hereward de Havilland, (cousin), Geoffrey de Havilland, (cousin)",,"Carmel Highlands, California, , U.S.",,,"Academy Award for Best Actress, (1941)",1917-10-22,,,,2013-12-15,,,,,,1935–1994,,,,,,,,,,,,2,"Joan de Beauvoir de, Havilland",,,,American School in Japan,,,,,,"Walter de Havilland, (father), Lilian Fontaine, (mother)",,,,,,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park,"New York City, U.S.",,,,,"www, .juneallyson, .com",,,,June Allison,June Allyson,,"Dick Powell,  ,  , (, m., 1945;, died, 1963),  , Alfred Glenn Maxwell,  ,  , (, m., 1963;, div., 1965),  ,  ,  , (, m., 1966;, div., 1970),  , David Ashrow,  , (, m., 1976),  ",,,,,,,,,,,,"Ojai, California, , U.S.",,,"Golden Globe – Best Actress, (1951)",1917-10-07,,,,2006-07-08,,,,5 ft 2 in (157 cm),,1936–2001,,,,"Actress, dancer, singer",,,,,,,,,Eleanor Geisman,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,,"O'Fallon, Illinois, , U.S.",,"Stefanie Powers, (1972–1981; his death)",,,,,,,,William Holden,,,,,,Actor,,,,,,,,"Santa Monica, California, , U.S.",,,"Academy Award for Best Actor, (1953), Primetime Emmy Award for Outstanding Lead Actor, (1974)",1918-04-17,,,,"November 12, 1981, 1981-11-12, aged 63",,,,,,1938–1981,,,,,,,,,,,,4,William Franklin Beedle Jr.,,,"Brenda Marshall,  ,  , (, m., 1941;, div., 1971),  ",Pasadena Junior College,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,,"Herne Hill, ,, London, , England, UK",,,,,,,,,,Ida Lupino,,"Louis Hayward,  ,  , (, m., 1938;, div., 1945),  , Collier Young,  ,  , (, m., 1948;, div., 1951),  , Howard Duff,  ,  , (, m., 1951;, div., 1984),  ",,Lupino,,,,"United Kingdom, United States",,,,,,"Los Angeles, ,, California, , U.S.",,,,1918-02-04,,,,1995-08-03,,,,,,1931–1978,,,,"Actress, director, producer",,,,,,,,1,,,,,Royal Academy of Dramatic Art,,,,,,"Stanley Lupino, (father), Connie Emerald, (mother)",,,,,Democrat,,
,,,,,,,,,,,,,,"Holy Cross Cemetery, Culver City","New York City, , U.S.",,,,,,,,,,Rita Hayworth,,"Edward C. Judson,  ,  , (, m., 1937;, div., 1942),  , Orson Welles,  ,  , (, m., 1943;, div., 1947),  , Prince Aly Khan,  ,  , (, m., 1949;, div., 1953),  , Dick Haymes,  ,  , (, m., 1953;, div., 1955),  , James Hill,  ,  , (, m., 1958;, div., 1961),  ",,,,,,,,,,"Richard Cansino, (nephew), Vinton Hayworth, (uncle)",,"New York City, U.S.",,,,1918-10-17,,,,1987-05-14,,,,,,1931–1972,,,Alzheimer's disease,"Actress, dancer, producer",,,,,,,,"2, including, Yasmin Aga Khan",Margarita Carmen Cansino,,,,,,,,,,"Eduardo Cansino, (father), Volga Hayworth, (mother)",,,,,Democratic,,
,,,,,,,,"Robert Walker,  ,  , (, m., 1939;, div., 1945),  , David O. Selznick,  ,  , (, m., 1949; died 1965),  , Norton Simon,  ,  , (, m., 1971; died 1993),  ",,,,,,"Forest Lawn Memorial Park, ,, Glendale, California, , U.S.","Tulsa, Oklahoma, , U.S.",,,,,,,,,,Jennifer Jones,,,,,,Actress,,,,,,,,"Malibu, California, , U.S.",,,,1919-03-02,,,,2009-12-17,,,,,,1939–1974,,,,,,,,,,,,"3, including, Robert Walker Jr.",Phylis Lee Isley,,,,"Northwestern University, American Academy of Dramatic Arts",,,,,,,,,,,,,
,,,,,,,,,,,,,,Arlington National Cemetery,"Dublin, , Ireland",,,,,,,,,,Maureen O'Hara,,"George H. Brown,  ,  , (, m., 1939;, annul., 1941),  , Will Price,  ,  , (, m., 1941;, div., 1953),  , Charles F. Blair Jr.,  ,  , (, m., 1968; died 1978),  ",,,,,,"Ireland, United States (from 1946)",,,,,,"Boise, Idaho, , US",,,,1920-08-17,,,,2015-10-24,,,,,,"1938–1971, 1991–2000",,,,"Actress, singer",,,,,,,,1,Maureen FitzSimons,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,Glenwood Cemetery,"Brooklyn, , New York, U.S.",,,,,,,,,,Gene Tierney,,"Oleg Cassini,  ,  , (, m., 1941;, div., 1952),  , W. Howard Lee,  ,  , (, m., 1960;, died, 1981),  ",,,,Actress,,,,,,,,"Houston, , Texas, U.S.",,,,1920-11-19,,,,1991-11-06,,,,,,"1938–1964, 1969-1980",,,,,,,,,,,,2,Gene Eliza Tierney,,,,,,,,,,,,,,,Republican,,
,,,,,,,,"William Marshall,  ,  , (, m., 1942;, div., 1948),  , Henri Vidal,  ,  , (, m., 1950; died 1959),  , Gérard Oury,  ,  , (, m., 1960; died 2006),  ",,,,,,"Montparnasse Cemetery, ,, Paris, , France","Neuilly-sur-Seine, ,, Hauts-de-Seine, ,, Île-de-France, , France",,,,,,,,,,Michèle Morgan,,,,,,Actress,,,,,,"Sarah Marshall, (granddaughter)",,"Meudon, , Hauts-de-Seine, Île-de-France, France",,,,1920-02-29,,,,2016-12-20,,,,,,1935–1999,,,,,,,,,,,,Mike Marshall,Simone Renée Roussel,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Hollywood Forever Cemetery, , Los Angeles","New York City, U.S.",,,,,"mickeyrooney, .com",,,,Mickey Maguire,Mickey Rooney,,"Ava Gardner,  ,  , (, m., 1942;, div., 1943),  , Betty Jane Phillips,  ,  , (, m., 1944;, div., 1949),  , Martha Vickers,  ,  , (, m., 1949;, div., 1951),  , Elaine Devry,  ,  , (, m., 1952;, div., 1958),  , Barbara Ann Thomson,  ,  , (, m., 1958; died 1966),  , Marge Lane,  ,  , (, m., 1966;, div., 1967),  , Carolyn Hockett,  ,  , (, m., 1969;, div., 1975),  , Jan Chamberlin,  ,  , (, m., 1978;, sep., 2012),  ",,,,,,,,,,,,"Los Angeles, California, U.S.",,,,1920-09-23,,,,2014-04-06,,,,,,1922–2014,,,,"Actor, producer, radio entertainer, vaudevillian",,,,,,,"Joe Yule, (father)","9, including, Tim, ,, Michael, ,, Teddy, and, Mickey Jr.",Joseph Yule Jr.,,,,,,,,,,,,,,Full list,,,
,,,,,,,,,,,,,,,"Omaha, Nebraska, , U.S.",,,,,,,,,Monty Clift,Montgomery Clift,,,,,,Actor,,,,,,,,"New York City, , U.S.",,,,1920-10-17,,,,1966-07-23,,,,,,1935–1966,,,,,,,,,,,,,Edward Montgomery Clift,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Holy Cross Cemetery, Culver City","Mexico City, , Mexico",,,,,,,,,,Ricardo Montalbán,,,,,,Actor,,,,,,"Carlos Montalbán, (brother)",,"Los Angeles, California, , U.S.",,,"Emmy Award, (1978), Screen Actors Guild, (1993), Hollywood Walk of Fame",1920-11-25,,,,2009-01-14,,,,,,1941–2008,,,,,,,,,,,,4,Ricardo Gonzalo Pedro Montalbán y Merino,,,"Georgiana Young,  ,  , (, m., 1944; died 2007),  ",,,,,,,,,,,,,"Mexican, American",
,,,,,,,,,,,,,,Hillside Memorial Park Cemetery,"St. Louis, Missouri, , U.S.",,,,,,,,,,Shelley Winters,,"Mack Paul Mayer,  ,  , (, m., 1943;, div., 1948),  , Vittorio Gassman,  ,  , (, m., 1952;, div., 1954),  , Anthony Franciosa,  ,  , (, m., 1957;, div., 1960),  , Gerry DeFord,  , (, m., 2006),  ",,,,Actress,,,,,,,,"Beverly Hills, California, , U.S.",,,,1920-08-18,,,,2006-01-14,,,,,,1936–2006,,,,,,,,,,,,1,Shirley Schrift,,,,The New School,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,"Saint-Michel-de-Bois-Aubry Russian Orthodox Monastery (near, Luzé, , France)",,,,,,,,,,,Yul Brynner,,"Virginia Gilmore,  ,  , (, m., 1944;, div., 1960),  , Doris Kleiner,  ,  , (, m., 1960;, div., 1967),  , Jacqueline Thion de la Chaume,  ,  , (, m., 1971;, div., 1981),  , Kathy Lee,  , (, m., 1983),  ",,,,Actor,,"Far Eastern Republic (1920–1922), Soviet Union, (1922–1927) China 1927–33 France 1933–38 China 1938–40, United States (1940–1965), Switzerland (1965–1985)",,,,,,,,,"Academy Award for Best Actor, 1956, The King and I, National Board of Review Award for Best Actor, 1956, The King and I, 1956, The Ten Commandments, 1956, Anastasia, Tony Award for Best Featured Actor in a Musical, 1952, The King and I, (and one Special Tony 1985)",,,,,"October 10, 1985, (1985-10-10), (aged 65), New York City, U.S.",,,,,,1941–1985,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
,,,,,,,,"Tony Bartley,  ,  , (, m., 1945;, div., 1959),  , Peter Viertel,  , (, m., 1960),  ",,,,"The King and I, From Here to Eternity, An Affair to Remember, Tea and Sympathy, Separate Tables, Black Narcissus, The Innocents, The Sundowners",,"Alfold Cemetery, Alfold, near Guildford, Surrey, England","Hillhead, ,, Glasgow, , Scotland",,,,,,,,,,Deborah Kerr,,,,,,Actress,,,,,,"Lex Shrapnel, (grandson)",,"Botesdale, ,, Suffolk, , England",,,,1921-09-30,,,,2007-10-16,,,,,,1937–1986,,,,,,,,,,,,2,Deborah Jane Trimmer,,,,,,,,,,,,,,,,,
,,,,,,,,"Bob Waterfield,  ,  , (, m., 1943;, div., 1968),  , Roger Barrett,  ,  , (, m., 1968; died 1968),  , John Calvin Peoples,  ,  , (, m., 1974; died 1999),  ",,,,"The Outlaw, Gentlemen Prefer Blondes, The Tall Men, The French Line, Foxfire",,,"Bemidji, Minnesota, , U.S.",,,,,,,,,,Jane Russell,,,,,,,,,,,,,Van Nuys High School,"Santa Maria, California, , U.S.",,,,1921-06-21,,,,2011-02-28,,,,,,1943–1986,,,,"Actress, singer, model",,,,,,,,3,Ernestine Jane Geraldine Russell,,,,,,,,,,,,,,,Republican,,
,,,,,,,,"Leonard Kovner,  ,  , (, m., 1940;, div., 1944),  , Ben Gage,  ,  , (, m., 1945;, div., 1958),  , Fernando Lamas,  ,  , (, m., 1969; died 1982),  , Edward Bell,  ,  , (, m., 1994),  ",,,,,,,"Inglewood, California, , U.S.",,,,,"esther-williams, .com",,,,,Esther Williams,,,,,,,,,,,,,,"Beverly Hills, California, , U.S.",,,,1921-08-08,,,,2013-06-06,,,,,,1942–1963,,,,"Swimmer, actress",,,,,,,,3,Esther Jane Williams,,,,Los Angeles City College,,,,,,,,,,,,,
,,,,,,,,,,,,,,Hillside Memorial Park Cemetery,"Amarillo, ,, Texas, , U.S.",,,,,,,,,"Lily Norwood, Felia Siderova, Maria Istomina",Cyd Charisse,,"Nico Charisse,  ,  , (, m., 1939;, div., 1947),  , Tony Martin,  ,  , (, m., 1948),  ",,,,,,,,,,"Nana Visitor, (niece)",,"Los Angeles, ,, California, , U.S.",,,,1922-03-08,,,,2008-06-17,,,,,,1939–2007,,,,"Actress, dancer",,,,,,,,2,Tula Ellice Finklea,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Wallace, Idaho, , U.S.",,,,,,,,,,Lana Turner,,"Artie Shaw,  ,  , (, m., 1940;, div., 1940),  , Joseph Stephen Crane,  ,  , (, m., 1942;, ann., 1943),  ,  ,  , (, m., 1943;, div., 1944),  , Bob Topping,  ,  , (, m., 1948;, div., 1952),  , Lex Barker,  ,  , (, m., 1953;, div., 1957),  , Fred May,  ,  , (, m., 1960;, div., 1962),  , Robert Eaton,  ,  , (, m., 1965;, div., 1969),  , Ronald Pellar,  ,  , (, m., 1969;, div., 1972),  ",,,,Actress,,,,,,,,"Los Angeles, California, , U.S.",,,Full list,1921-02-08,,,,1995-06-29,,,,,,1937–1985,,,,,,,,,,,,Cheryl Crane,Julia Jean Turner,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park,"Cleveland, Ohio, , U.S.",,,,,,,,,,Dorothy Dandridge,,"Harold Nicholas,  ,  , (, m., 1942;, div., 1951),  , Jack Denison,  ,  , (, m., 1959;, div., 1962),  ",,,,,,,,,,"Vivian Dandridge, (sister), Nayo Wallace, (great-niece)",,"West Hollywood, California, , U.S.",,,,1922-11-09,,,,1965-09-08,,,,,,1933–1965,,,,"Actress, singer, dancer",,,,,,,"Ruby Dandridge, (mother)",1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Pillow Talk, Love Me or Leave Me, Calamity Jane, The Man Who Knew Too Much",,,"Cincinnati, Ohio, , U.S.",,,,,"dorisday, .com",,,,,Doris Day,,"Al Jorden,  ,  , (, m., 1941;, div., 1943),  , George Weidler,  ,  , (, m., 1946;, div., 1949),  , Martin Melcher,  ,  , (, m., 1951; died 1968),  , Barry Comden,  ,  , (, m., 1976;, div., 1982),  ",,,,,,,,,,,,"Carmel Valley, California, , U.S.",,,,1922-04-03,,,,2019-05-13,,,,,,1939–2012,,,,,,,,,,,,Terry Melcher,Doris Mary Kappelhoff,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,"Sunset Memorial Park, Smithfield, North Carolina","Grabtown, North Carolina, , U.S.",,,,,"avagardner, .org",,,,,Ava Gardner,,"Mickey Rooney,  ,  , (, m., 1942;, div., 1943),  , Artie Shaw,  ,  , (, m., 1945;, div., 1946),  , Frank Sinatra,  ,  , (, m., 1951;, div., 1957),  ",,,,Actress,,,,,,,,"Westminster, ,, London, , England",,,,1922-12-24,,,,1990-01-25,,,,,,1941–1986,,,,,,,,,,,,,Ava Lavinia Gardner,,,,Atlantic Christian College,,,,,,,,,,,,,
,,,,,,,,"John Shelton,  ,  , (, m., 1941;, div., 1946),  , Johnnie Johnston,  ,  , (, m., 1947;, div., 1951),  ",,,,,,,"Winston-Salem, North Carolina, , U.S.",,,,,"kathryngrayson, .com",,,,,Kathryn Grayson,,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1922-02-09,,,,2010-02-17,,,,,,1941–1998,,,,,,,,,,,,1,Zelma Kathryn Elisabeth Hedrick,,,,,,"Actress, singer",,,,,,,,,,,
,,,,,,,,,,,,,,Hollywood Forever Cemetery,"Grand Rapids, Minnesota, , U.S.",,,,,,,,,,Judy Garland,,"David Rose,  ,  , (, m., 1941;, div., 1944),  , Vincente Minnelli,  ,  , (, m., 1945;, div., 1951),  , Sidney Luft,  ,  , (, m., 1952;, div., 1965),  , Mark Herron,  ,  , (, m., 1965;, div., 1969),  , Mickey Deans,  , (, m., 1969),  ",,,,,,,,,,,,"London, , England",,,,1922-06-10,,,,1969-06-22,,,,,,1924–1969,,,,"Actress, singer, dancer, vaudevillian, television and radio presenter",,,,,,,,"3, including, Liza Minnelli, and, Lorna Luft",Frances Ethel Gumm,,,,,,,,,,,,,,,Democratic,,
,,,,,World War II,,Staff Sergeant,,,,,,United States Army Air Corps,"Saint Matthew's Episcopal Church Columbarium, Pacific Palisades, California, , U.S.","Wilmette, Illinois, , U.S.",,,,,,1944–1946,,,,Charlton Heston,,,,,,,John Gavin,,,,,,,"Beverly Hills, California, , U.S.",Filmography,,,1923-10-04,,,,2008-04-05,United States,,,,,1941–2003,,,,"Actor, activist",,,,,,,,"2, including, Fraser Clarke Heston",John Charles Carter,,,"Lydia Clarke,  , (, m., 1944),  ",Northwestern University,,,77th Bombardment Squadron,,,,,,Dana Andrews,,"Republican, (after 1987), Democratic, (before 1987)",,
,,,,,,,,"Reese Llewellyn Milner,  ,  , (, m., 1946;, div., 1947),  , Bill Moss,  ,  , (, m., 1958;, div., 1961),  , Arthur Cameron,  ,  , (, m., 1961;, div., 1962),  ",,,,,,"Holy Cross Cemetery, Culver City","Chireno, Texas, , U.S.",,,,,,,,,,Ann Miller,,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1923-04-12,,,,2004-01-22,,,,,,1934–2001,,,,,,,,,,,,1,Johnnie Lucille Collier,,,,,,"Actress, dancer, singer",,,,,,,,,,,
,,,,,,,,"Jeanne Coyne,  ,  , (, m., 1948, ;, div., 1951, ),  , Marion Marshall,  ,  , (, m., 1952, ;, div., 1959, ),  , Adelle O'Connor Beatty,  ,  , (, m., 1960, ;, div., 1971, ),  , Yvette Mimieux,  ,  , (, m., 1972, ;, div., 1985, ),  , Pamela Braden,  ,  , (, m., 1990;, div., 1994),  ",,,,"Singin' in the Rain, ,, On the Town, ,, Funny Face, ,, Charade",,,"Columbia, South Carolina, , U.S",,,,,,,,,,Stanley Donen,,,,,,,,,,,,,,"New York City, , U.S.",,,,1924-04-13,,,,2019-02-21,,,,,,1940–2003,"Elaine May, (, c., 1999)",,,,,,,,,,,"3, including, Joshua Donen",,,,,,,"Film director, film producer, choreographer, dancer, stage director",,,,,,,,,,,
,,,,,,,,,,,,,,,"Omaha, Nebraska, , U.S.",,,,,"marlonbrando, .com",,,,,Marlon Brando,,"Anna Kashfi,  ,  , (, m., 1957;, div., 1959),  , Movita Castaneda,  ,  , (, m., 1960;, annul., 1968),  , Tarita Teriipaia,  ,  , (, m., 1962;, div., 1972),  ",,,,,,,,,,"Jocelyn Brando, (sister), D. A. Pennebaker, (cousin)",,"Los Angeles, ,, California, , U.S.",Full list,,Full list,1924-04-03,,,,2004-07-01,,,,,,1944–2004,,,,"Actor, film director, activist",,,,,"Rita Moreno, (1954-1962), Jill Banner, (1968–1982), Maria Cristina Ruiz (1988–2001)",,,"11 (8 biological, 3 adopted);, including, Christian, and, Cheyenne",Marlon Brando Jr.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Forest Lawn Memorial Park, ,, Glendale, California, , U.S.","The Bronx, , New York City, U.S.",,,,,,,,,Betty Bogart,Lauren Bacall,,"Humphrey Bogart,  ,  , (, m., 1945; died 1957),  , Jason Robards,  ,  , (, m., 1961;, div., 1969),  ",,,,,,,,,,"Shimon Peres, (cousin)",,"Manhattan, , New York City, U.S.",Full list,,Full list,1924-09-16,,,,2014-08-12,,,,,,1942–2014,,,,"Actress, model",,,,,,,,"3, including, Stephen Humphrey Bogart, and, Sam Robards",Betty Joan Perske,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,"Cynthia Stone,  ,  , (, m., 1950;, div., 1956),  , Felicia Farr,  , (, m., 1962),  ",,,,,,Westwood Village Memorial Park Cemetery,"Newton, Massachusetts, , U.S.",,,,,,,,,,Jack Lemmon,,,,,,Actor,,,,,,,Phillips Academy Andover,"Los Angeles, California, , U.S.",,,Full list,1925-02-08,,,,2001-06-27,,,,,,1949–2001,,,,,,,,,,,,"2, including, Chris Lemmon",John Uhler Lemmon III,,,,"Harvard University, (1947)",,,,,,,,,,Performances,Democratic,,
,,,,,,,,"Sybil Williams,  ,  , (, m., 1949;, div., 1963),  , Elizabeth Taylor,  ,  , (, m., 1964;, div., 1974),  ,  ,  , (, m., 1975;, div., 1976),  , Suzy Miller,  ,  , (, m., 1976;, div., 1982),  , Sally Hay,  ,  , (, m., 1983),  ",,,,,,,"Pontrhydyfen, , Wales",,,,,,,,,,Richard Burton,,,,,,Actor,,,,,,,,"Céligny, , Switzerland",,,,1925-11-10,,,,1984-08-05,,,,,,1943–1984,,,,,,,,,,,,"3, including, Kate Burton",Richard Walter Jenkins Jr.,,,,,,,,,,,,,,,,,
,,,,,,,Petty Officer Third Class,,,,,,United States Navy,,"Shaker Heights, Ohio, , U.S.",,,,,,1943–1946,,,,Paul Newman,,"Jackie Witte,  ,  , (, m., 1949;, div., 1958),  , Joanne Woodward,  , (, m., 1958),  ",,,,,,,,,,,"Kenyon College, (, BA, ), Yale University","Westport, Connecticut, , U.S.",,,Navy Good Conduct Medal,1925-01-26,"SeriousFun Children's Network, ,, Safe Water Network",,,2008-09-26,United States,,,,,1949–2007,,,,"Actor, film director, race car driver, entrepreneur",,,,,,,,"6, including, Scott, ,, Nell, , and, Melissa",Paul Leonard Newman,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,,"Winnetka, Illinois, , U.S.",,,,,,,,,Roy Harold Fitzgerald (adoption surname from stepfather),Rock Hudson,,,,,,Actor,,,,,,,,"Beverly Hills, California, , U.S.",,,,1925-11-17,,,,1985-10-02,,,,6 ft 3.5 in (192 cm),,1948–1985,,,AIDS-related complications,,,"Cenotaph at, Forest Lawn Cemetery, ,, Cathedral City, California",,,,,,,Roy Harold Scherer Jr.,,,"Phyllis Gates,  ,  , (, m., 1955;, div., 1958),  ",,,,,,,,,,,,,,
,,,,,World War II,,"Signalman, 3rd Class",,,,,,United States Navy,"Palm Memorial Park (Green Valley),, Las Vegas, Nevada","New York City, U.S.",,,,,,1943–1945,,,,Tony Curtis,,"Janet Leigh,  ,  , (, m., 1951;, div., 1962),  , Christine Kaufmann,  ,  , (, m., 1963;, div., 1968),  , Leslie Allen,  ,  , (, m., 1968;, div., 1982),  , Andrea Savio,  ,  , (, m., 1984;, div., 1992),  , Lisa Deutsch,  ,  , (, m., 1993;, div., 1994),  , Jill Vandenberg,  ,  , (, m., 1998),  ",,,,Actor,,,,,,,,"Henderson, Nevada, , U.S.",,,"American Campaign Medal, Asiatic–Pacific Campaign Medal, World War II Victory Medal",1925-06-03,,,,2010-09-29,United States,,,,,1948–2008,,,,,,,,,,,,"6, including, Kelly, ,, Jamie Lee, , and, Allegra Curtis",Bernard Schwartz,,,,The New School,,,"USS, Proteus, (AS-19)",,,,,,,,,,
,,,,,,,,,,,,,,,"London, England",,,,,,,,,,Angela Lansbury,,"Richard Cromwell,  ,  , (, m., 1945;, div., 1946),  , Peter Shaw,  ,  , (, m., 1949; died 2003),  ",,"Bruce Lansbury, (brother), Edgar Lansbury, (brother), George Lansbury, (grandfather)",,,,"United Kingdom, United States (from 1951), Ireland (from, c., 1970, )",,,,,,"Los Angeles, California, US",,,Full list,1925-10-16,,,,2022-10-11,,,,,,1942–2022,,,,"Actress, singer",,,,,,,,2,Angela Brigid Lansbury,,,,,"Dame, (2014)",,,,,"Edgar Lansbury, Moyna Macgill",,,,,,,
,,Westwood Village Memorial Park Cemetery,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,,"marilynmonroe, .com",,,,Norma Jeane Baker,Marilyn Monroe,,"James Dougherty,  ,  , (, m., 1942;, div., 1946),  , Joe DiMaggio,  ,  , (, m., 1954;, div., 1955),  , Arthur Miller,  ,  , (, m., 1956;, div., 1961),  ",,,,,,,,,,"Berniece Baker Miracle, (half-sister)",,"Los Angeles, California, U.S.",,,,1926-06-01,,,,1962-08-04,,,,,,1945–1962,,,Barbiturate overdose,"Actress, model, singer",,,,,,,"Gladys Pearl Baker, (mother)",,Norma Jeane Mortenson,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Subiaco, , Italy","Subiaco, ,, Kingdom of Italy",,,,,,,,,,Gina Lollobrigida,,,,,,,,,,,,,,"Rome, ,, Italy",,,"Order of Merit of the Italian Republic, Legion of Honour, Ordre des Arts et des Lettres",1927-07-04,,,,2023-01-16,,,,,,1946–1997,Javier Rigau y Rafols (1984–2006),,,,,,,,,,,1,Luigia Lollobrigida,,,"Milko Škofič,  ,  , (, m., 1949;, div., 1971),  ",,,"Actress, photojournalist",,,,,,,,,,,
,,,,,World War II,,,,,,"Ambassador to, UNESCO",,United States Army,,"Miami, Florida, U.S.",,,,,,1943–1944,,,,Sidney Poitier,,"Juanita Hardy,  ,  , (, m., 1950;, div., 1965),  , Joanna Shimkus,  , (, m., 1976),  ",,,,,,,,,,,,"Beverly Hills, California, , U.S.",Full list,,Full list,1927-02-20,,,,2022-01-06,,,,,,1946–2009,"Diahann Carroll, (1959–1968)",Ambassador to Japan,,"Actor, film director, diplomat",,,,,,,,"6, including, Sydney Tamiia",,,,,,,,,,,,,,,,,"American, Bahamian",
,,,,,,,,,,,,"Psycho, Little Women, Angels in the Outfield, Scaramouche, Holiday Affair, The Manchurian Candidate",,Westwood Village Memorial Park Cemetery,"Merced, California, , U.S.",,,,,,,,,,Janet Leigh,,"John Carlisle,  ,  , (, m., 1942, ; annulled, 1942, ),  , Stanley Reames,  ,  , (, m., 1945, ;, div., 1948, ),  , Tony Curtis,  ,  , (, m., 1951, ;, div., 1962, ),  , Robert Brandt,  , (, m., 1962, ),  ",,,,,,,,,,,Stockton High School,"Beverly Hills, California, , U.S.",,,,1927-07-06,,,,2004-10-03,,,,,,1947–2004,,,,"Actress, singer, dancer, author",,,,,,,,"Kelly Curtis, Jamie Lee Curtis",Jeanette Helen Morrison,,,,University of the Pacific,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,"Alta Mesa Memorial Park, ,, Palo Alto, California",,,,,,"shirleytemple, .com",,,,Shirley Temple Black,Shirley Temple,,"John Agar,  ,  , (, m., 1945;, div., 1950),  , Charles Alden Black,  ,  , (, m., 1950; died 2005),  ","Shirley Jane Temple, (, 1928-04-23, ), April 23, 1928, Santa Monica, California, , U.S.",,,"Actress, singer, dancer, diplomat, political activist",Robert P. Smith,,,,,,,,,,,,,Gerald Ford,,"February 10, 2014, (2014-02-10), (aged 85), Woodside, California, , U.S.",,,,,,"1932–1965 (as actress), 1967–1992 (as public servant)",,,,,,,,,,,,"3, including, Lori Black",,,,,,,,,,,,,,Fred L. Hadsel,,Republican,,
,,,,,,,,,,,,Mildred Pierce,,,"Mount Kisco, New York, , U.S.",,,,,,,,,,Ann Blyth,,,,"Dennis Day, (brother-in-law)",,,,,,,,,,,,,,1928-08-16,,,,,,,,,,1933–1985,,,,,,,,,,,,5,Anne Marie Blythe,,,"James McNulty,  ,  , (, m., 1953; died 2007),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Tolochenaz Cemetery, Tolochenaz","Ixelles, , Brussels, Belgium",,,,,,,,,,Audrey Hepburn,,"Mel Ferrer,  ,  , (, m., 1954;, div., 1968),  , Andrea Dotti,  ,  , (, m., 1969;, div., 1982),  ",,,,,,,,,,"Baron Aarnoud van Heemstra, (maternal grandfather), Emma Ferrer, (granddaughter)",,"Tolochenaz, , Vaud, Switzerland",,,Full list,1929-05-04,,,,1993-01-20,,,,,,"1948–1989 (actress), 1954–1993 (humanitarian)","Robert Wolders, (1980–1993; her death)",,,"Actress, humanitarian",,,,,,,"Baroness Ella van Heemstra, (mother)","2, including, Sean",Audrey Kathleen Ruston,,,,,,,,,,,,,,Full list,,British,
